tweet,subtask_a,subtask_b,subtask_c
@Anamikaa6969 @ragiing_bull अनामिका फक्त दिपक sir यांच्या साठी तुला Sorry बोलतो. बावळट वेडपट नाही बोलायचं या पुढे.… https://t.co/gNwF8eXbmt,,,
@Anamikaa6969 @ragiing_bull मग तसा dp ठेव ना बावळट confuse का आहेस आयुष्यात???,,,
@RahulGandhi #सोन्या_मावशीचा_पप्या काय सुधारत नाही अगदी आहे तसाच आहे .... #बावळट 🤗,,,
@surykant_garad @mahen_solunke @nawabmalikncp अरे बावळट माणसं असच बोलतात तिघे मिळून विश्वास घात केला रे नाही तर भा… https://t.co/AJ7FHb241q,,,
@Riteishd कोणत्या angle ने वरील ट्विट हिंदू विरोधी वाटते ? 2014 पासून देशात एवढा बावळट पणा भरला आहे. ही लोकं रोज… https://t.co/Phout7gJEl,,,
@rautsanjay61 बावळट आत्ता कळल का,,,
@gajanan137 @sameerwankhedee @KrantiRedkar @BhausahebAjabe 😂😂🤣😂बावळट,,,
@OnkarAndhare @samant_uday परीक्षेला 5 मि. रिपोर्टींग वेळेनंतर गेलेलं cet cell ला चालत नाही . पेपर चे 90 मि. तर आ… https://t.co/yKdek3hLi7,,,
वाझे च काय आता यात बावळट येड्या https://t.co/onSwVx5Cn4,,,
RT @SachinSanghavi5: भ्रष्टाचाराला झीरो टॉलरन्सचे पाठ पढवणारे नरेंद्र मोदी ईलेक्टोरीयल बॉंड्स मध्ये गुप्तता ठेवण्याचे कायदे पारीत करतात !…,,,
@Liberal_India1 .. म्हणून काय ड्रग्स विकण्याचं लायसन्स आहे का...?? असा बावळट प्रश्न काही अर्धवटराव विचारत आहेत.… https://t.co/IJJZXkX1X8,,,
भ्रष्टाचाराला झीरो टॉलरन्सचे पाठ पढवणारे नरेंद्र मोदी ईलेक्टोरीयल बॉंड्स मध्ये गुप्तता ठेवण्याचे कायदे पारीत करतात… https://t.co/z0ikhV2zJM,,,
@SaurabhBG @TV9Marathi @NiteshNRane काहीपण करतील हे बावळट आहे राणे बंधू,,,
"@_nileshmore तेच ना भाऊ !
बावळट लोकं संघटने वरती टिका करून संतुष्ट होतात !
थेट मुळावर हल्ला नाही करत",,,
@rajas_ @Marathi_Rash @nawabmalikncp चूप बावळट...मधे पचकायला ही संघी शाखा नाहीये...,,,
"सर्व घडल्यानंतरच लोकांत विश्वास येतो की हा अजून पण जातपात आहे !
किती बावळट पणा आहे ना हा !
शिक्षणा पासून वंचित ठेव… https://t.co/MAyVEHB6cV",,,
"RT @Fulloffailure1: कधी येतो कधी जातो
कुठं जातो काय करतो
मला काही काही
माहिती नाही
खांद्याला खांदा भिडवून
नेहमी बाजूला असेल विठू
म्हणून मी…",,,
"कधी येतो कधी जातो
कुठं जातो काय करतो
मला काही काही
माहिती नाही
खांद्याला खांदा भिडवून
नेहमी बाजूला असेल विठू
म्हणून… https://t.co/yk3NcrEi2q",,,
@TV9Marathi @AGSawant आता हे आल बावळट. कायद्यापेक्षा मोठा कोणीच नाही. पण त्यांनी केल तरी काय? मुंबईतील रात्रीची नशा… https://t.co/XwAGVoZwDt,,,
@TejasYMarathe @ChitraKWagh @fadnavis_amruta @BJP4Maharashtra @OfficeofUT @AUThackeray @SardesaiVarun… https://t.co/IJg0tfy6qZ,,,
"अक्कल जागा सोडली की अशी बावळट पणा चालू होतील....
जरा टीका कोणत्या गोष्टीवर करावं हे जरा विचार करा...प्रतिनिधीची ही… https://t.co/IDN3BcZUJe",,,
"@aatish_nik @iamSRKsNaina @iamsrk अरे बावळट, गु जरा चाटला काय आणि खाला काय दोन्ही एकच ना???शेवटी गु तो गुच ना....🤣🤣",,,
@TV9Marathi तुमच्यासारखे बावळट तुम्हीच असाल.. काही काम नाहीये म्हणून स्वतःच कुठूनतरी भंगार टीव्ही उचलून आणला असेल आ… https://t.co/udHiChDHSU,,,
"RT @VIJAYDE90310532: @kolhe_amol महाभकास आघाडीमध्ये सगळं बावळट च बाजार भरला ,आहे आरोग्य विभागाच्या भरतीच्या ढिसाळ ,करभरावरून हे स्पष्ट दिसू…",,,
@nawabmalikncp काय बावळट मानुस आहे हा,,,
@Abhi_Kuldhariya @JAYD1114 @PranavJoshi_ @AmitLeliSlayer @hindumangesh @PravinAlai @khajanchianand @GargiShinde7… https://t.co/k303JdOTEL,,,
"@ExSecular @deepikapadukone ही बाई एवढी बावळट असेल असे वाटले नव्हते..
ही पण त्या पप्पू सारखी मंद बाई आहे..",,,
@ekikaranmarathi @rajeshtope11 @CMOMaharashtra @AjitPawarSpeaks @Subhash_Desai काय बावळट लोक आहेत हे। परीक्षा प्र… https://t.co/OapCMUJ9SH,,,
@ishpriy @pdrk_7 बावळट आहेत,,,
"@kolhe_amol महाभकास आघाडीमध्ये सगळं बावळट च बाजार भरला ,आहे आरोग्य विभागाच्या भरतीच्या ढिसाळ ,करभरावरून हे स्पष्ट… https://t.co/2rg6GXHIrf",,,
भारतीय क्रिकेट संघाचा पाकिस्तान संघाविरुद्धच्या २० षटकीय सामन्यात पराभव झाल्याचं खापर मोदींवर फोडणाऱ्या पोस्ट पडू… https://t.co/mSEWhSPQPB,,,
RT @Lakhan_358: बाबासाहेब आंबेडकर यांनी फक्त दलित लोकांचा उधार केला असं इथले मनुवादी बावळट ढोल वाजवत असता .असं म्हणे म्हणजे मूर्ख पानाचं आ…,,,
"@MiLOKMAT @rautsanjay61 काय आहे विडिओ त, news वाल्यानी 100प्रश्न विचारायला हव राऊतांना, त्यांना काय दिसते विडिओ म… https://t.co/mneUgQ0gEC",,,
RT @Manoj93Rane: अनन्या पांडेला NCB कडून अटक होण्याची दाट शक्यता.इतर वेळी बावळट असल्याचा खोटा अभिनय करणारी अनन्या पांडे NCB अधिकाऱ्यांना स…,,,
@d590NMx8dstLnQv बायल्या .....,,,
"मुलगी रडली की हा बायल्या खांदा द्यायला लगेच पुढे जातो.
करियरची वाट याच कारणाने लागली असूनही शहाणपण का येत नाही ?
अ… https://t.co/c9EtuLujDT",,,
"RT @9900Vikram: बायल्या आतापर्यंत महिलांना पुढे करून टार्गेट करत होता आता स्वतः तृतीयपंथी झालाय..😂
#RWचाहेमल्या",,,
@MHD_Press @AcharyaBhosale @BJP4Maharashtra @PawarSpeaks @NCPspeaks @nawabmalikncp @OfficeofNM @Awhadspeaks… https://t.co/ID8r4cOlFY,,,
"RT @rane27_ar: @MahebubShaikh20 @kingsmanT11 हा तुषार हरामखोर ब्लॉक करून पळाला आहे बायल्या..
कसला आचार्य लायकी आहे याची..",,,
"@MahebubShaikh20 @kingsmanT11 हा तुषार हरामखोर ब्लॉक करून पळाला आहे बायल्या..
कसला आचार्य लायकी आहे याची..",,,
@yogi_9696 @AcharyaBhosale बायल्या,,,
@VijaysinhPandit @AcharyaBhosale बायल्या आहे त्यो,,,
"@surajvchavan @Kapil_Zoting @AcharyaBhosale त्याच्या तर तोंडात किडे पडतील.
बायल्या डांगीच....",,,
@DayanandSpeaks @AcharyaBhosale @Jayant_R_Patil @supriya_sule @RRPSpeaks अस बोलतोय तो जस काय कधी म्हातारा होणारच ना… https://t.co/8e7pWhVJcp,,,
@VijaysinhPandit @AcharyaBhosale बायल्या खोसले,,,
"@AcharyaBhosale तुमच्या पक्षाचा नेता प्रधान पप्पू, अडाणचोट, नौटंकी, बायल्या मोती स्वतःची बायको सोडून देतो
आणि म… https://t.co/QJ77xs4Kle",,,
@AcharyaBhosale बायल्या तू फक्त चार दोन ओळी लिहून आभाळ हेपलतजा बाकी तुला समरो भिडण्याची हिम्मत असेल तर सांग वेळ आणि… https://t.co/bxgOsHaZVV,,,
"बायल्या आतापर्यंत महिलांना पुढे करून टार्गेट करत होता आता स्वतः तृतीयपंथी झालाय..😂
#RWचाहेमल्या",,,
@deepakbhatuse @nawabmalikncp त्या बायल्या भगोड्या परमवीर नी दिलेल्या चिट्टीला लेटर बॉम्ब बोलताना मीडियाला लाज नाही… https://t.co/M3sjttlFFG,,,
@LoksattaLive @Dev_Fadnavis खरोखरच बायल्या आहे हा फडणवीस,,,
"@Makao7iv7iv @ShilpaSurve02 @jayant_rokade @ajay381991 @ghodke_gauri तूट मारीच्या ,बायल्या महिलांना न पुढे करता बोल की करण जोहर..",,,
@Makao7iv7iv @ShilpaSurve02 @jayant_rokade @ajay381991 @ghodke_gauri नीट रहा आग नको लावू दादा..कशाला महिलांच्या खां… https://t.co/mE7YRu70kV,,,
@aSantoshTweets बायकोचा बायल्या 🍉🍉,,,
@KDB927 आर्यन आणि बायल्या आवाजाच्या पेंग्विन चं काही नातं आहे का? शेणकिडे आणि नवब्या त्याच्या बचावासाठी एवढी डांग… https://t.co/UstfxsAdHT,,,
"@Makao7iv7iv @jayant_rokade @ajay381991 @ghodke_gauri अरे तू काय बोलतोय आणि कसं बोलतोय हे फ
दिसतंय सगळं फक्त बायल्या पणा सोडून बोल",,,
"एक महीला बराच वेळ दूसर्‍या बाईशी बोलत होती. ति महीला त्या बाईला कमी बोलण्याचे फायदे सांगत होती.
😂😅🤣😝",,,
@SakalMediaNews देवा कुठं नेऊन ठेवलंय तू फसणवीस बाईला...,,,
"@SaamanaOnline ही बघा सौभाग्यवती...ना मंगळसूत्र, ना कुंकू, ना टिकली
आणि म्हणे मी मराठी!!!
इतक्या वर्षात नवरा हिं… https://t.co/NrIGWNLJGF",,,
@LoksattaLive @KrantiRedkar @OfficeofUT या बाईला कोण तर सांगा।। हिच्या नाही हिच्या नवऱ्याचे कारनामे वसुलीचे आहेत आ… https://t.co/0n2EHR5kcy,,,
@sidharthshah8 @rane27_ar @RamVSatpute @nawabmalikncp @mohitbharatiya_ @Dev_Fadnavis का रिया चक्रवर्ती बाई न्हवती… https://t.co/MYyCKb1uXJ,,,
RT @_shrikant_007: निखिलाने प्रश्न विचारला क्रांतीला :- समीर वानखेडेवर झालेल्या आरोपांमुळे तुम्हाला किती त्रास झाला? आपल्या नवऱ्यावर आरोप…,,,
"RT @pratikshabhavre: त्या दाऊद च्या पोराला पाठीशी घालण्यासाठी ह्या चित्रा बाईला आज भीमाचा किल्ला आठवतोय.
बरोबर सोयीनुसार हे राजकारणी लोक…",,,
@sidharthshah8 @rane27_ar @RamVSatpute @nawabmalikncp @mohitbharatiya_ @Dev_Fadnavis अहो वाकडं काय घेऊन बसलात अख्खा… https://t.co/WinxrJg6Ed,,,
RT @Manoj93Rane: प्रश्न हा उपस्थित केला गेला पाहिजे की देशातील फक्त ०.४% लोक पाहणारे इंग्लिश न्यूज चँनेल्सवर व्यक्त केले गेलेले मत आणि त्या…,,,
@TV9Marathi @KrantiRedkar @OfficeofUT ज्याच्यांत 40 वर्षानंतरही स्वबळावर सत्तेत येण्याचा दम नाही म्हणून ज्यांनी आप… https://t.co/I9NJLxgraD,,,
प्रश्न हा उपस्थित केला गेला पाहिजे की देशातील फक्त ०.४% लोक पाहणारे इंग्लिश न्यूज चँनेल्सवर व्यक्त केले गेलेले मत आ… https://t.co/EPwvNVEfv0,,,
@KrantiRedkar @CMOMaharashtra @NarvekarMilind_ @republic @indiatvnews @ZeeNews @zee24taasnews @ABPNews @News18India… https://t.co/O6cnl6SKkJ,,,
"पुंछता है भारत, कहा है संजय राऊत, कहा है उद्धव ठाकरे, उध्दव ठाकरे तुझे क्या लगता है, हे असे भुकले तेव्हा नाही मराठी… https://t.co/ZvvCiwnsMy",,,
".समीर वानखेडे यांच्या आईचे बाळंतपण केलेल्या सुईण बाईला शोधतोय म्हणे
कबाब😀😀😀😀😀😀 #BoycottBollywood… https://t.co/tbwySkWAYU",,,
"@ashish_jadhao आता आठवली का बाईला मराठी, वाटलच होत रडेल म्हणून,तिच्या नवऱ्याने सुध्दा मराठी माणसालाच त्रास दिला हो… https://t.co/UygLEPlXKg",,,
"RT @sumrag: @KrantiRedkar You stand tall. Full power to you. Keep your cool. 🌺🌺
Ganapati Bappa Morya.🙏🙏
Btw @CMOMaharashtra आता महाराष्ट्र…",,,
त्या वैद्य बाईला तुम्ही चक्कर आणून पडणार अस दिसतेय😜 https://t.co/uuUWDnGh6e,,,
"@ChitraKWagh आँखे होते हुए भी अंधे है (महागाई दिसत नाही बाईला?)
हमाम में सब नंगे हैं https://t.co/9MSUMrPwU4",,,
RT @namdevwrites: काय बाई आहे!! थरारक प्रवास आहे. या बाईला नेस्तनाबूत करण्यासाठी सत्तेनं हरतऱ्हेनं कंबर कसली. पण ही बाई पुरून उरली आणि अजून…,,,
"@myself_vrinda वजन असण्यात पण ""वजन "" असतं.
त्या हडकूळ्या बाईला काय माहित 😂",,,
"त्या दाऊद च्या पोराला पाठीशी घालण्यासाठी ह्या चित्रा बाईला आज भीमाचा किल्ला आठवतोय.
बरोबर सोयीनुसार हे राजकारणी लो… https://t.co/I4GOJKpqcb",,,
@ShefVaidya टिकली न लावणाऱ्या बाईला सपोर्ट कसा काय?,,,
"@sumrag नाय, पण हीचा नवरा भ्रष्ट असेल तरीही @CMOMaharashtra ने ह्या रडारड कर बाईला समर्थन करायचे का?",,,
"RT @NmNSpeaksXOXO: @sumrag उगाच विषकन्या नाही म्हणत ह्या बाईला..
खुप विषारी आहे ही नको तिथे विष फेकत बसते.",,,
निखिलाने प्रश्न विचारला क्रांतीला :- समीर वानखेडेवर झालेल्या आरोपांमुळे तुम्हाला किती त्रास झाला? आपल्या नवऱ्यावर… https://t.co/ULT5R78Wkk,,,
"@sumrag उगाच विषकन्या नाही म्हणत ह्या बाईला..
खुप विषारी आहे ही नको तिथे विष फेकत बसते.",,,
"@sumrag @ShefVaidya सुमित जी शेफाली एवढं मूर्ख व्यक्तिमत्व जगात सापडणार नाही
Ignore करा या बाईला 😂",,,
"@myself_vrinda दाऊदच्या मुलाचा लई पुळका येतोय बाईला...... अन्वय नाईक च्या मुलीचे ,बायकोचे फोटो कसे शेअर झाले ते विसरल्या वाटतं....",,,
"@sumrag @ShefVaidya एक नंबर भिकार बाई आहे ही , हिला अक्कल नाही कुठे काय बोलायच ,ह्या बाईला वाटतय आपल जे मत आहे ते इ… https://t.co/fk8QapKGAy",,,
@VinodWayal11 ताई हया चतुर्वेदी बाईला करोडो रु देउन ठाकरेनी कोंग्रेस मधून आयात केलि आहे? याना शीवसेनेच्या लाठयाकाठ… https://t.co/vGe7nNm2Ye,,,
"@d590NMx8dstLnQv फोटो कडण्यासाठी पोज दिलाय , बाईला टाईम नाही कीती काम करते महीलान साठी वेळ नाही फोटो काढायला",,,
काय बाई आहे!! थरारक प्रवास आहे. या बाईला नेस्तनाबूत करण्यासाठी सत्तेनं हरतऱ्हेनं कंबर कसली. पण ही बाई पुरून उरली आ… https://t.co/8TTMuDKXLA,,,
@TheTelevox @ChitraKWagh या बाईला काय बोलतोय कुणाची साथ देतोय याच पण भान नाही उगाच नौटंकी करायच भाड्याने ठेवल हिला भाजपा ने,,,
RT @thatPunekar: या सो कॉल्ड पत्रकाराला एका पक्षाच्या पदाधिकारीने असभ्य बोललं तर लगेच मंत्र्यांना टॅग करून त्याला अटक करवली होती पण इथे एका…,,,
@shailesh_varmaa खरंच भोपाळच्या जनतेचे मानसिकता इतकी मंद होती ? त्यांनी या बाईला खासदार बनवलं,,,
"त्या ब्लॉक करून पळालेल्या जोगल बाईला निरोप द्या रे कोणीतरी.. रिकामे सल्ले देणं बंद कर म्हणा..
म्हणे कोणाच्या वैय… https://t.co/QjbIwUfi7O",,,
@PoulAyodhya @ChitraKWagh ढोंगी बाईला फक्त पब्लिसिटी हवे असते,,,
@ChitraKWagh ही बाईला फक्त पब्लिसिटी हवी असते,,,
@nawabmalikncp तुमच्या तंबाखू खाणे सोडलेल्या साहेबांना NCB अधिकाऱ्याने फाट्यावर मारलेले दिसते. इटली च्या बाईला लेटर… https://t.co/PQ77bwS0E0,,,
@ChitraKWagh छु...... असं फर्मान चित्रा बाईला.... की लगेच बाई सुटली.,,,
"@jogalshailaja या भंगार वागणाऱ्या बाईला आपणच मोठे केले आहे.
सहनशक्ती खूप कमी हिची. कुणी काही प्रश्ण विचारला की… https://t.co/xqF0OsF1bg",,,
@Marathi_Rash @saamTVnews या सो कॉल्ड पत्रकाराला एका पक्षाच्या पदाधिकारीने असभ्य बोललं तर लगेच मंत्र्यांना टॅग करून… https://t.co/3AJg0VtBcd,,,
"@ShrimantManey अरे किती सिरीयस घेता राव तुम्ही या बाईला 🤣🤣
बर ते प्रॉफेट सिनेमा भारतात का रिलीज झाला नही, ते पण कळवा,",,,
@jogalshailaja गोदी मीडिया मेम्बर असलेल्या या बाईला कोणीही ज्ञान देण्याचा प्रयत्न करु नये असे वाटते. स्वतःचा ठिकाणा… https://t.co/ERXqJiAPGd,,,
या सो कॉल्ड पत्रकाराला एका पक्षाच्या पदाधिकारीने असभ्य बोललं तर लगेच मंत्र्यांना टॅग करून त्याला अटक करवली होती पण… https://t.co/QehV9uS2Ex,,,
"#WeStandByVishhalNikam #BiggBossMarathi3 #VishhalNikam #Vishhalians @OrmaxMedia
@ColorsMarathi
@BiggBossMarathi… https://t.co/Zd4NB2KnGc",,,
@HarshadaSwakul का निवडून दिलं असेल ह्या बाईला भोपाळ च्या लोकांनी खरंच अनपड लोकांचा मतदार संघ आहे तो. एवढी अडाणी बई निवडून दिली राव,,,
"@ReallySwara अरे हया बाईला सध्या काही काम धंदा नाहीये
पागल झालीय ही बाई...नका नांदी लागू तिच्या ति
फक्त पब्लिसिटी… https://t.co/9uJP7DICQF",,,
"@KrantiRedkar एका मराठी अभिनेत्रीचे, तिच्या कुटंबाचे चारित्र्य हनन चालु आहे. कारण तिचा नवरा एक प्रामाणिक अधिक कारी… https://t.co/NXB0UkeAJl",,,
@ChitraKWagh @CMOMaharashtra @rautsanjay61 @maharashtra_hmo @Dev_Fadnavis @SMungantiwar @ChDadaPatil @ShelarAshish… https://t.co/W3UCyKLJ2g,,,
@Marathi_Rash @saamTVnews त्याला दुसरी बायको दाखविले आणी त्या बाईला दुसरा नवरा पण असणारच हे पण माहित असायला हव मग nonsense type,,,
RT @ShefVaidya: @HarshadBhatkar @rautsanjay61 जास्त देशभक्तीचा आव आणू नका। ‘Free Kashmir’ आणि ‘कश्मीर माँगे आज़ादी’ अश्या घोषणा देणारया बाई…,,,
@nav_me22 @ShivaA_K इथं वाटोळं झालं सगळं आणि ह्या बाईला पाणीपुरीचं पडलंय.😭,,,
@sk77688082 @priyaldhuri बाईला=सिम्प/मीठा व्यक्ति,,,
@SavgaonkarPatil @prathameshpps म्हणूनच डेरींग आहे तुझं 👍🏽👍🏽👍🏽😅.... मला वाटतं त्या बाईला सुनवावं पण ती दरवेळी स्वतः… https://t.co/vEPrLx4S58,,,
@TV9Marathi @ShindePraniti बाईला लयच रस आहे EDला मागं लावून घेण्याचा.....,,,
RT @RKBajaj73: @INCIndia अबे हुतियो अब चूल्हा नही गैस स्टोव जलता है और वो लाइटर से हर कोई जलता है 😂😁 लोग चांद पर पहुँच गए और तुम बातें बैल…,,,
@SavgaonkarPatil जशास तसे उत्तर दिल्याशिवाय गत्यंतर नाहीये नव्या भारतात ह्या बाईला तिच्याच भाषेत उत्तर दिलं पाहिजे,,,
@INCIndia अबे हुतियो अब चूल्हा नही गैस स्टोव जलता है और वो लाइटर से हर कोई जलता है 😂😁 लोग चांद पर पहुँच गए और तुम… https://t.co/OsyFXBE9Ax,,,
"RT @skunte43: @Shar_v11 खरच यार म्हणजे ह्या सारंगे बाईला maturity सोडाच साधा common sense ही असु नये???
@manjrekarmahesh
#BiggBossMarathi3…",,,
@Anand_Dasa88 @KrantiRedkar टॅग करत जा ओ त्या बाईला..... लै टमाटमा करत होती.,,,
Btw @CMOMaharashtra आता महाराष्ट्र बदनाम होत नाही का जेव्हा एका बाईला अशा भाषेला सामोरं जावं लागतं? @KrantiRedkar… https://t.co/yDt8XG0Gan,,,
"RT @Ideology_2020: @ShefVaidya एका बाईच्या तोंडून असली भाषा शोभते का, @ChitraKWagh.. असल्या अभद्र भाषेत बोलणार्‍या बाईला जर पुरुषांनी तशाच…",,,
"@ShefVaidya एका बाईच्या तोंडून असली भाषा शोभते का, @ChitraKWagh.. असल्या अभद्र भाषेत बोलणार्‍या बाईला जर पुरुषांनी… https://t.co/mA4yokDcRJ",,,
"RT @omkar_2607: इतक्या जलदगतीने विकास झाला कि बाईला कपडे बदलायला सुद्धा वेळ नाही मिळाला? 😂😂😂 @myogiadityanath
@BJP4Maharashtra @BJP4Mumbai…",,,
@Mahadev_Balgude त्या बाईला पैसे देवून बोलविले होते.. दोन हाना मला हिंदुत्ववादी म्हणा 😂😂😀,,,
त्या स्वरा भास्कर सारख्या बाईला पाकिस्तान पाठवून द्या तिला हिंदू असल्याची लाज वाटते आता खरच बाळासाहेब ठाकरे पाहि… https://t.co/lnz0Yexqjd,,,
"@NatkhatO @honeyviscous तो तो बो अंग्रेजी कबिता बाचन कर्स हैं
तो पो'म होएंडे।😤
मैडम मैडम! डोलू जी को ब्लाकिट कल दी… https://t.co/PmKxsFZGvj",,,
RT @chauhanannant1: @nawabmalikncp देखते हैं तो और कितना गिर सकता है भारत के संविधान और अपने पद की गरिमा तो रख ले इतनी पुच्ची हरकतों पर उ…,,,
@nawabmalikncp देखते हैं तो और कितना गिर सकता है भारत के संविधान और अपने पद की गरिमा तो रख ले इतनी पुच्ची हरकतों पर उतर आया है।,,,
@JIGARDECHALLEY पुच्ची मांगे है मोहतरमा से,,,
"RT @sitapurlivenews: #Sitapur #Breakingnews: श्री शचीन्द्र मोहन कपूर ""पुच्ची भैया"" का आज रात्री 7,45 पर निधन, सेठ ब्रज किशोर टण्डन सम्प्पति…",,,
"#Sitapur #Breakingnews: श्री शचीन्द्र मोहन कपूर ""पुच्ची भैया"" का आज रात्री 7,45 पर निधन, सेठ ब्रज किशोर टण्डन स… https://t.co/Obbp1y6WS9",,,
"@ajitanjum @virendersehwag तू तो बड़ा मोहब्बत वाला है, जाके पुच्ची ले ले पाकिस्तानियों की",,,
"RT @janardanspeaks: साउथ एक्टर R माधवन के बेटे ने 7 गोल्ड मेडल जीते हैं तैराकी प्रतियोगिता में, कहीं कोई चर्चा?
और एक नालायक की औलाद ने गं…",,,
"2000 रुपयात लय चांगली दिवाळी होते,हे वाक्य कोणत्या सालचे आहे,निर्णय प्रक्रियेतील नालायक आपणास मार्गदर्शन करत आहेत,… https://t.co/cl4swKGXnl",,,
"RT @psantosh_44: चांगल्या माणसानाच देव लवकर बोलवतो…😕😢
चोर्या,लूबाड्या,दूसर्यांवर अत्याचार करणार्या नालायक माणसाच्या अंगात कीड़े पडले तरी…",,,
"@Indian16666295 @SaurabhBG ते कसं ,म्हणजे किती जणांनी आत्महत्या करावी अशी आपली आणि मविआ सरकारची इच्छा आहे?इथे नालाय… https://t.co/TmPkf1aPCw",,,
"RT @patiltatya1921: हारामखोरांनो आर्यन जेल मधून सुटला तुम्ही फटाके वाजवले आनंद साजरा केला लाज वाटू द्या तो नालायक
सीमेवरुन युद्ध जिंकून ना…",,,
"ज्यांनी आर्यन खान सुटल्यावर आनंद साजरा केला शाहरुख त्यांचा आईचा नवरा असावा👍
आणि ती त्याची नालायक बायको लव जिहाद ला… https://t.co/AmlMTMlQ4A",,,
"हारामखोरांनो आर्यन जेल मधून सुटला तुम्ही फटाके वाजवले आनंद साजरा केला लाज वाटू द्या तो नालायक
सीमेवरुन युद्ध जिंकून नाही आला😡😡😡😡",,,
RT @AvniNaik1: @Dev_Fadnavis नगर जिल्ह्यात शेवगाव एसटी आगारात(डेपो )कार्यरत होते! दिलीप खटके यांनी आत्महत्या केली..!आतापर्यंत 28 एसटी कर्म…,,,
@NehaKulkarn ह्यचा Boss म्हंजे Nawab Malik cha कीती नालायक आहे ते वाकडे महोदय .,,,
RT @Advsanketd: संकटग्रस्त जनतेला मदत देताना हात आखडता घेणारे नालायक सरकार दरोडा घालत असताना ज्या तडफेने काम करत आहे ते पाहता हे अट्टल दरो…,,,
RT @Parag_Dabhade17: @khadaksingh_ नालायक पत्रकारिता आहे,,,
"चांगल्या माणसानाच देव लवकर बोलवतो…😕😢
चोर्या,लूबाड्या,दूसर्यांवर अत्याचार करणार्या नालायक माणसाच्या अंगात कीड़े पड… https://t.co/tfEJl4ekZQ",,,
"RT @DeoShrinivas: प्रिय भगिनी,
एक रिया चक्रवर्ती नावाची मुलगी 29 दिवस तुझ्या नवऱ्यामुळे जेल मधे होती,त्यावेळी तू तुझ्या नवऱ्याला विचारलं का…",,,
"@NikhilBhamre8 वाट लावली या सरकार ने सगळ्यांचीच हे फक्त आणि फक्त यांच्या चेल्या चपाट्याचेच काम करत आहेत, लाजा नाहीत यांना नालायक कुठले😡",,,
@SjAmruta @devharshada आपलेच नालायक आहेत....,,,
संकटग्रस्त जनतेला मदत देताना हात आखडता घेणारे नालायक सरकार दरोडा घालत असताना ज्या तडफेने काम करत आहे ते पाहता हे अ… https://t.co/sjYyM6IBeB,,,
"@SABIRGSHAIKH1 @milind_naikare @Vijay76430149 @sanamalikshaikh जय सोडा,गरज पण नाही आम्हाला 110 कोटी म्हणतात येवढे न… https://t.co/5EhyYygNIM",,,
"@lokmat @NCPspeaks @PawarSpeaks @nawabmalikncp @BJP4Maharashtra
@ShivSena
@rautsanjay61
नालायक खंडणीखोर गृहमंत्री… https://t.co/eubud5oqUT",,,
"@abpmajhatv 40 ST बस कर्मचाऱ्या नी आत्महत्या केल्या आहेत राज्यात
या मुळे #महाराष्ट्र ची बदनामी होत नाही का रे नालाय… https://t.co/QNap1qBzSX",,,
@rajuparulekar राजाभाऊ यु ट्यूब वर आहे हे नाटक. भट प्रधान सेवक आणी त्याची टीम किती नालायक होती ह्याचे उत्तम दर्शन ह्या नाटकात आहे.,,,
@lokmat अजीम प्रेमजी पेक्षा बदनाम आर्यन आणि त्याचा नालायक बाप शशारुख खान अधिक प्रसिध्द,,,
"@supriya_sule https://t.co/1rKuPNYjvu
तुमचे ते आर्यन चे पुराण संपले (बेल भेटली ना तूमचे मंत्री रात्रंदिवस बोंबलत हो… https://t.co/lXafEtc8ye",,,
@iamaakash77 @KrantiRedkar लोकांनी तिच्या कुटुंबाची अब्रू वेशीवर लटकवयची आणि तिने गप्प राहायचे ? त्या हरामखोरांना… https://t.co/HhciS2m7lu,,,
"@abpmajhatv महाराष्ट्रात रोज बलात्कार होतायत आया बहिणीवर आणि या नालायक सरकारला आणि पत्रकारांना त्या चरसी, गंजेडी आ… https://t.co/mdMIII6lLE",,,
RT @RawaleMayur: एसटी कर्मचाऱ्यांची हाल जर सरकारला दिसत नसेल तर सरकार त्या लायकीची नाही आहे स्वतःचे खिसे गरम करण्यात व्यस्त असलेली सरकार कि…,,,
@arvindgj केंद्रातील सरकार सुद्धा नालायक आहे राज्यातील सरकार सुद्धा नालायक आहे सर्व एकाच माळेचे मणी,,,
"@abpmajhatv पाळीव कुत्रकार आहेत हे.... शेतकऱ्यांच्या आत्महत्या, एसटी कर्मचारी यांच्या आत्महत्या, ओला दुष्काळ हे स… https://t.co/9pElWUGSOE",,,
@LoksattaLive नालायक पानाचा कळस केलंय तुम्ही बातम्या देणाऱ्यानी,,,
@khadaksingh_ नालायक पत्रकारिता आहे,,,
"इतकी नालायक मिडिया झाली आहे.
फक्त आर्यन खान #परसाकडल 😂बसलेला दाखवायची राहिली आहे.
@abpmajhatv @MahavikasAghad3",,,
"@ShelarAshish @Dev_Fadnavis @BJP4Maharashtra
@BJP4India
@BJP4Mumbai
@AjitPawarSpeaks
@AshokChavanINC… https://t.co/3u5Iu3361U",,,
"RT @iyogeshwar: ऐन दिवाळीच्या तोंडावर ST कर्मचारी दिलीप खटके यांची आत्महत्या मनाला वेदना देणारी आहे, या नालायक सरकारला अजून किती माय माऊलीं…",,,
